prolly proximity benchmark
schema_version=3
dataset=linear-mod-2000003-v2
revision=43a6c55564df2750e77298542a490dec9baa6ff9
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=10000
profile=quantizers
search_repeats=30
metric=InnerProduct
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,806047.583,10000,0
source_closure_bytes,768,0,0.000,90987106,10383
turboquant_build,768,1,138832.916,7680000,3920000
turboquant_build_resources,768,1,0.000,1709751,122880000
turboquant_build,768,2,75353.125,7680000,3920000
turboquant_build_resources,768,2,0.000,1709751,122880000
turboquant_build,768,4,55218.291,7680000,3920000
turboquant_build_resources,768,4,0.000,1709751,122880000
turboquant_sidecar_bytes,768,0,0.000,3975264,3920000
turboquant_manifest_code_bytes,768,0,0.000,136,3975128
turboquant_search_scalar,768,0,8592.167,10000,80
turboquant_search_scalar_p95,768,0,9030.542,4167120,0
turboquant_search_scalar_p99,768,0,9051.083,80,2076321
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_search_scalar_io,768,0,0.000,10080,0
turboquant_search_scalar_rerank,768,0,0.000,80,4167120
turboquant_recall,768,0,0,0.000000,0.00958443061248919
turboquant_search_simd,768,0,10558.667,10000,80
turboquant_search_simd_p95,768,0,11089.458,4167120,0
turboquant_search_simd_p99,768,0,11934.375,80,2076321
turboquant_search_simd_work,768,0,0.000,80,1
turboquant_search_simd_io,768,0,0.000,10080,0
turboquant_search_simd_rerank,768,0,0.000,80,4167120
turboquant_search_auto,768,0,8633.792,10000,80
turboquant_search_auto_p95,768,0,9063.250,4167120,0
turboquant_search_auto_p99,768,0,9067.375,80,2076321
turboquant_search_auto_work,768,0,0.000,80,1
turboquant_search_auto_io,768,0,0.000,10080,0
turboquant_search_auto_rerank,768,0,0.000,80,4167120
pq_build,768,1,447634.667,5120000,10000
pq_build,768,2,301847.083,5120000,10000
pq_build,768,4,227155.000,5120000,10000
pq_sidecar_bytes,768,0,0.000,174439,10000
pq_manifest_code_bytes,768,0,0.000,49311,125128
pq_search,768,0,1382.125,10000,80
pq_search_p95,768,0,1517.000,327120,0
pq_search_p99,768,0,1537.875,80,2198801
pq_search_work,768,0,0.000,80,1
pq_search_io,768,0,0.000,10080,0
pq_search_rerank,768,0,0.000,80,327120
pq_recall,768,0,0,0.000000,0
